reviewContent,sentiment,corpus
mantap.. semoga awet barangnya.. maaf baru kasih penilaian,positif,mantap moga awet barang maaf kasih nilai
Seneng baranga cepat sampai packing juga rapih.. terimakasih,positif,senang baranga cepat packing rapi terima kasih
"Barang sampai dengan selamat,. berfungsi dengan baik,.",positif,barang selamat fungsi
Brg bagus cukup memuaskan,positif,barang bagus muas
Sesuai dengan pesanan,positif,sesuai pesan
kualitas TV secara keseluruhan bagus  Gambar full hd yg tajam dan kualitas suara yg cukup bagus. ada fitur built in media manager dan sudah bisa playback file mkv dari koneksi usb.,positif,kualitas televisi bagus gambar full high definition tajam kualitas suara bagus fitur built in media manajer playback file mkv koneksi usb
barang sesuai dengan digambar dan berfungsi dengan baik,positif,barang sesuai gambar fungsi
barang Ok Mantep gan,positif,barang oke mantap juragan
sudah diterima.. thanks,positif,terima terima kasih
"pesan hari kamis, hari jumat siang udah nyampe pake sicepat, mantaab, tv oke cm sayang ga dape magic remote n ga ada bluetooth, trims samsung n lazada",positif,pesan kamis jumat siang pakai si cepat mantaab televisi oke sayang dape magic remote bluetooth terima kasih samsung lazada
"Barang bagus, pengiriman kilat",positif,barang bagus kirim kilat
overall sangat suka desainnya. yg pasti dg harga 32 inch dapat tv yg 40 inch.. memang soundnya kurang joss. tpi dg harga sebanding kualitasnya..,positif,overall suka desain harga 32 inch televisi 40 inch soundnya joss harga banding kualitas
"tv oke, layar bening, saya suara sedikit memprihatinkan, tp seauai budgetlah. pengiriman ke sulawesi butuh 3 minggu.",positif,televisi oke layar bening suara prihatin seauai budgetlah kirim sulawesi butuh 3 minggu
pengiriman cepat... barang ok thanks lazada,positif,kirim cepat barang oke terima kasih lazada
"mantap djiwa,paket sampai dgn amann,ada free packing kayu nya bantu banget 😁",positif,mantap djiwapaket amannada free packing kayu nya bantu banget
"wowwww tidak bisa dilukiskan dengan kata kata semoga barangnya awet,rekomended banget dalam segala hal memuaskan,harga terjangkau kualitas mumpuni thanks lazada thanks very much warmness inn...",positif,wow lukis moga barang awetrekomended banget memuaskanharga jangkau kualitas mumpuni terima kasih lazada terima kasih much warmness inn
thanks barangnya udah nyampe sebelum tgl estimasi...! moga awet,positif,terima kasih barang tanggal estimasi moga awet
Barang cepet sampe rapih kualitas bagus..terimakasih LAZADA,positif,barang cepat rapi kualitas bagusterimakasih lazada
"Sesuai dengan foto, good quality",positif,sesuai foto good quality
Produk Asli Sandisk. Berfungsi dgn baik walapun pengiriman mesti menunggu sampai seminggu baru tiba.,positif,produk asli sandisk fungsi walapun kirim mesti tunggu minggu
